"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10053","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10673","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14230","","09/08/2020","","Floating","","4:14 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #373, 8059 TARA BLVD., JONESBORO, GA","","","","","","","","","","","","","","","","",""
"","","13912","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13786","","09/08/2020","","Floating","","4:14 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #373, 8059 TARA BLVD., JONESBORO, GA","","","","","","","","","","","","","","","","",""
"","","8503","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11296","","09/08/2020","","Floating","","5:12 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #461, 1225 CAROLINE STREET, ATLANTA, GA","","","","","","","","","","","","","","","","",""
"","","12324","","09/08/2020","","Floating","","5:12 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #461, 1225 CAROLINE STREET, ATLANTA, GA","","","","","","","","","","","","","","","","",""
"","","9239","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14476","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2725","","09/08/2020","","Floating","","4:14 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #373, 8059 TARA BLVD., JONESBORO, GA","","","","","","","","","","","","","","","","",""
"","","11114","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14016","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14360","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14022","","09/08/2020","","Floating","","5:12 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #461, 1225 CAROLINE STREET, ATLANTA, GA","","","","","","","","","","","","","","","","",""
"","","14243","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14269","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6945","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14297","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10640","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14349","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9505","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14299","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14493","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14053","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11807","","09/08/2020","","Floating","","5:12 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #461, 1225 CAROLINE STREET, ATLANTA, GA","","","","","","","","","","","","","","","","",""
"","","14382","","09/08/2020","","Floating","","4:14 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #373, 8059 TARA BLVD., JONESBORO, GA","","","","","","","","","","","","","","","","",""
"","","9167","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12516","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8824","","09/08/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6182","","09/08/2020","","Floating","","4:14 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #373, 8059 TARA BLVD., JONESBORO, GA","","","","","","","","","","","","","","","","",""
