"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","10/28/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","10/28/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","10/28/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","10/28/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10053","","10/28/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10673","","10/28/2020","","Floating","","10:29 AM","12:00 PM","","","00:04","","","","","","","","","","","","","GRUB MART #09, 5333 US HIGHWAY 431, ALEXANDRIA, AL","","","","","","","","","","","","","","","","",""
"","","10673","","10/28/2020","","Floating","","2:00 PM","2:00 PM","","","00:04","","","","","","","","","","","","","GRUB MART #07, 2070 HWY 77, SOUTHSIDE, AL","","","","","","","","","","","","","","","","",""
"","","14230","","10/28/2020","","Floating","","3:35 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #495, 128570 HIGHWAY 9, ALPHARETTA, GA","","","","","","","","","","","","","","","","",""
"","","10602","","10/28/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6447","","10/28/2020","","Floating","","8:45 AM","10:00 AM","","","00:02","","","","","","","","","","","","","RENFROES MARKET #709, 59 N LAFAYETTE ST, lafayette, AL","","","","","","","","","","","","","","","","",""
"","","6447","","10/28/2020","","Floating","","1:00 PM","1:00 PM","","","00:02","","","","","","","","","","","","","RENFROE'S MARKET #710, 3482 CROSSWINDS DR, PHENIX CITY, AL","","","","","","","","","","","","","","","","",""
"","","13786","","10/28/2020","","Floating","","3:35 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #495, 128570 HIGHWAY 9, ALPHARETTA, GA","","","","","","","","","","","","","","","","",""
"","","8503","","10/28/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11296","","10/28/2020","","Floating","","5:30 AM","5:45 AM","","","00:01","","","","","","","","","","","","","KROGER #482, 4357 LAWRENCEVILLE, TUCKER, GA","","","","","","","","","","","","","","","","",""
"","","12324","","10/28/2020","","Floating","","8:45 AM","10:00 AM","","","00:02","","","","","","","","","","","","","RENFROES MARKET #709, 59 N LAFAYETTE ST, lafayette, AL","","","","","","","","","","","","","","","","",""
"","","12324","","10/28/2020","","Floating","","1:00 PM","1:00 PM","","","00:02","","","","","","","","","","","","","RENFROE'S MARKET #710, 3482 CROSSWINDS DR, PHENIX CITY, AL","","","","","","","","","","","","","","","","",""
